X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8370852.45340154,4859175.41736659,3271,2121362W,Bus,21,Westbound,21362,Walnut St & 37th St,39.953418,-75.196647,Fall 2023,44,115,13,41,8,30
-8371067.30001877,4859207.51065289,3272,2121363W,Bus,21,Westbound,21363,Walnut St & 38th St,39.953639,-75.198577,Fall 2023,62,138,24,28,16,25
-8371241.40370237,4859239.16838533,3273,2121364W,Bus,21,Westbound,21364,Walnut St & 39th St,39.953857,-75.200141,Fall 2023,52,91,16,53,17,51
-8371490.31408379,4859281.86291823,3274,21433W,Bus,21,Westbound,433,Walnut St & 40th St,39.954151,-75.202377,Fall 2023,154,178,77,103,53,74
-8371781.6371912,4859327.17160286,3275,2121365W,Bus,21,Westbound,21365,Walnut St & 41st St,39.954463,-75.204994,Fall 2023,27,42,21,34,11,32
-8371926.01857075,4859349.97124349,3276,2121366W,Bus,21,Westbound,21366,Walnut St & 42nd St,39.95462,-75.206291,Fall 2023,39,84,16,62,16,41
-8372186.72881819,4859389.32616033,3277,2121367W,Bus,21,Westbound,21367,Walnut St & 43rd St,39.954891,-75.208633,Fall 2023,54,116,28,87,18,81
-8372336.23089433,4859416.48259609,3278,2121368W,Bus,21,Westbound,21368,Walnut St & 44th St,39.955078,-75.209976,Fall 2023,34,87,27,66,21,47
-8372510.33457793,4859444.07477264,3279,2121369W,Bus,21,Westbound,21369,Walnut St & 45th St,39.955268,-75.21154,Fall 2023,46,103,22,65,20,58
-8372731.9716841,4859479.65427135,3280,2121370W,Bus,21,Westbound,21370,Walnut St & 46th St,39.955513,-75.213531,Fall 2023,27,55,7,31,8,26
-8372952.82955383,4859515.08867429,3281,2121371W,Bus,21,Westbound,21371,Walnut St & 47th St,39.955757,-75.215515,Fall 2023,32,62,11,39,5,25
-8373177.02700829,4859551.5397699,3282,2121372W,Bus,21,Westbound,21372,Walnut St & 48th St,39.956008,-75.217529,Fall 2023,24,83,19,47,12,34
-8373395.32452973,4859587.55532643,3283,2121374W,Bus,21,Westbound,21374,Walnut St & 49th St,39.956256,-75.21949,Fall 2023,41,91,18,42,15,37
