X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WK_Ons,WK_Offs,Sat_Ons,Sat_Offs,Sun_Ons,Sun_Offs
-8386488.05511989,4884617.28810827,11489,Bus,90,Eastbound,26544,Markley St & Freedley St,40.128391,-75.337104,Fall 2025,1,1,0,0,0,0
-8364885.28341706,4888571.90380073,11490,Bus,80,Southbound,810,Prudential Office Campus,40.155548,-75.143043,Fall 2025,2,0,0,0,0,0
-8372630.00303053,4887513.52476909,11491,Bus,94,Southbound,27130,Bethlehem Pk & Bannockburn Av,40.148281,-75.212615,Fall 2025,1,0,0,0,0,0
-8386383.63743753,4884758.36717512,11492,Bus,90,Eastbound,26545,Markley St & Coolidge Blvd,40.12936,-75.336166,Fall 2025,1,0,0,1,0,0
-8365148.55401279,4890327.71995656,11493,Bus,80,Southbound,1078,Dresher Rd & Business Ctr Dr - MBFS,40.167602,-75.145408,Fall 2025,0,0,0,0,0,0
-8372703.91917242,4885797.52233112,11494,Bus,94,Southbound,27136,Bethlehem Pk & Station Av,40.136497,-75.213279,Fall 2025,6,0,1,1,0,0
-8386189.94152355,4885013.74141666,11495,Bus,90,Eastbound,26546,Markley St & Roberts St,40.131114,-75.334426,Fall 2025,0,3,0,4,0,0
-8364510.69333054,4891198.60623004,11496,Bus,80,Southbound,1079,Dresher Rd & Gibraltar Rd - MBNS,40.17358,-75.139678,Fall 2025,0,0,0,0,0,0
-8372938.35802003,4885166.61968625,11497,Bus,94,Southbound,27138,Bethlehem Pk & Fort Hill Dr,40.132164,-75.215385,Fall 2025,2,1,0,2,0,0
-8386082.9634929,4885257.03737437,11498,Bus,90,Eastbound,26547,Markley St & Logan St,40.132785,-75.333465,Fall 2025,2,6,1,0,0,0
-8363410.07752507,4887589.54601882,11499,Bus,80,Southbound,1085,Moreland Rd & Fitzwatertown Rd,40.148803,-75.129791,Fall 2025,0,0,0,0,0,0
-8373156.65554147,4883770.27362263,11500,Bus,94,Southbound,27140,Bethlehem Pk & Skippack Pk,40.122573,-75.217346,Fall 2025,1,0,0,0,0,0
-8385832.38331912,4885698.07204758,11501,Bus,90,Eastbound,26550,Swede Rd & Hancock Av,40.135814,-75.331214,Fall 2025,0,0,0,0,0,0
-8367265.85072767,4884256.81038085,11502,Bus,80,Southbound,1086,Fitzwatertown Rd & Jenkintown Rd - MBNS,40.125915,-75.164428,Fall 2025,1,0,0,0,0,0
-8372910.30550835,4882881.84525838,11503,Bus,94,Southbound,27142,Bethlehem Pk & Farmar Ln,40.11647,-75.215133,Fall 2025,0,0,1,0,0,0
-8385384.87896613,4886291.87642218,11504,Bus,90,Eastbound,26552,Swede Rd & Overhill Rd,40.139892,-75.327194,Fall 2025,0,0,0,0,0,0
-8364726.4305037,4873749.32470863,11505,Bus,80,Southbound,15574,Broad St & 66th Av,40.053703,-75.141616,Fall 2025,3,10,0,0,0,0
-8384921.12196749,4886705.72585126,11506,Bus,90,Eastbound,26554,Swede Rd & Mill Rd,40.142734,-75.323028,Fall 2025,0,3,0,2,0,0
-8365466.25983951,4889894.34494884,11507,Bus,80,Southbound,16408,Dresher Rd & Welsh Rd - MBFS,40.164627,-75.148262,Fall 2025,1,0,0,0,0,0
-8372841.51006304,4882358.69535185,11508,Bus,94,Southbound,27144,Bethlehem Pk & Sunnybrook Rd,40.112876,-75.214515,Fall 2025,0,1,0,1,0,1
-8384453.13482819,4887018.52712512,11509,Bus,90,Eastbound,26555,Swede Rd & Germantown Pk,40.144882,-75.318824,Fall 2025,1,5,1,4,0,0
-8372759.13363985,4881628.02027571,11510,Bus,94,Southbound,27146,Bethlehem Pk & Mill Rd,40.107856,-75.213775,Fall 2025,2,3,2,1,0,0
-8365058.49654473,4890469.46319868,11511,Bus,80,Southbound,16412,Dresher Rd & Walnut Grove Dr,40.168575,-75.144599,Fall 2025,1,0,0,0,0,0
-8384290.94233011,4887230.12502879,11512,Bus,90,Eastbound,26556,Swede Rd & Germantown Pk - MBFS,40.146335,-75.317367,Fall 2025,0,6,0,10,0,0
-8372715.83035793,4881220.4958509,11513,Bus,94,Southbound,27148,Bethlehem Pk & College Av,40.105056,-75.213386,Fall 2025,5,0,1,0,0,0
-8364913.33592874,4890660.01127262,11514,Bus,80,Southbound,16413,Dresher Rd & Witmer Rd,40.169883,-75.143295,Fall 2025,0,0,0,0,0,0
-8383715.97716016,4886500.25516372,11515,Bus,90,Eastbound,26559,Germantown Pk & DeKalb Pk - FS,40.141323,-75.312202,Fall 2025,4,10,0,5,0,0
-8372677.64777259,4880876.87846871,11516,Bus,94,Southbound,27149,Bethlehem Pk & Wissahickon Av,40.102695,-75.213043,Fall 2025,1,1,1,0,0,0
-8364655.96526603,4890998.43253881,11517,Bus,80,Southbound,16417,Dresher Rd & Witmer Rd - MBFS,40.172206,-75.140983,Fall 2025,1,0,0,0,0,0
-8383319.34581446,4886148.00882486,11518,Bus,90,Eastbound,26560,Germantown Pk & Arch Rd - MBNS,40.138904,-75.308639,Fall 2025,5,4,4,4,0,0
-8372659.72533457,4880612.00577938,11519,Bus,94,Southbound,27150,Bethlehem Pk & Jones Av,40.100875,-75.212882,Fall 2025,1,1,0,0,0,0
-8365374.5325791,4889374.17434703,11520,Bus,80,Southbound,16419,Electronic Dr & Welsh Rd - MBNS,40.161056,-75.147438,Fall 2025,2,0,0,0,0,0
-8382815.73643811,4885713.06961052,11521,Bus,90,Eastbound,26561,Germantown Pk & Hilltop Rd,40.135917,-75.304115,Fall 2025,1,1,0,0,0,0
-8372671.63652008,4880232.90087884,11522,Bus,94,Southbound,27151,Bethlehem Pk & Haws Ln - MBFS,40.09827,-75.212989,Fall 2025,3,2,2,1,0,0
