X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8366376.63063522,4863741.69338703,9980,1617281N,Bus,Infodev,16,Northbound,17281,Broad St & Diamond St - FS,39.984855,-75.15644,Fall 2022,14,13,5,11,5,8
-8366305.27484162,4864163.46486482,9981,1617283N,Bus,Infodev,16,Northbound,17283,Broad St & Dauphin St,39.987758,-75.155799,Fall 2022,38,22,17,12,11,8
-8366044.56459418,4865716.60434184,9982,1617296N,Bus,Infodev,16,Northbound,17296,Broad St & Indiana Av,39.998447,-75.153457,Fall 2022,14,21,6,7,3,10
-8364524.38562791,4874827.90501747,9983,1615471N,Bus,Infodev,16,Northbound,15471,Broad St & 71st Av,40.061119,-75.139801,Fall 2022,10,32,12,15,4,26
-8364466.61081219,4875129.71327168,9984,1617334N,Bus,Infodev,16,Northbound,17334,Broad St & Cheltenham Av,40.063194,-75.139282,Fall 2022,8,33,14,28,5,25
-8367112.11851089,4859303.35547363,9985,1617261N,Bus,Infodev,16,Northbound,17261,Broad St & Arch St,39.954299,-75.163047,Fall 2022,9,0,8,0,9,0
-8366983.8784575,4860084.52525199,9986,1617264N,Bus,Infodev,16,Northbound,17264,Broad St & Callowhill St - FS,39.959678,-75.161895,Fall 2022,2,2,5,1,1,1
-8366124.38066908,4865277.03931905,9987,1617290N,Bus,Infodev,16,Northbound,17290,Broad St & Somerset St,39.995422,-75.154174,Fall 2022,8,12,5,6,4,2
-8365863.67042164,4866818.72669503,9988,1617299N,Bus,Infodev,16,Northbound,17299,Broad St & Tioga St,40.006031,-75.151832,Fall 2022,53,52,21,20,11,8
-8365512.90270615,4868911.70107303,9989,1631383N,Bus,Infodev,16,Northbound,31383,Broad St & Cayuga St - FS,40.020431,-75.148681,Fall 2022,6,27,6,10,0,4
-8365192.74785063,4870830.50358891,9990,1617315N,Bus,Infodev,16,Northbound,17315,Broad St & Fisher Av,40.03363,-75.145805,Fall 2022,15,21,4,9,5,6
-8365006.73298151,4871944.82677693,9991,1617319N,Bus,Infodev,16,Northbound,17319,Broad St & Grange St,40.041294,-75.144134,Fall 2022,23,30,15,18,3,12
-8364744.35294172,4873496.2767492,9992,1615455N,Bus,Infodev,16,Northbound,15455,Broad St & 65th Av,40.051963,-75.141777,Fall 2022,4,19,1,11,2,5
-8365145.9936645,4875661.79088435,9993,1615477N,Bus,Infodev,16,Northbound,15477,Cheltenham Av & Cedar Ln,40.066852,-75.145385,Fall 2022,5,11,2,7,1,6
-8366334.99714566,4876545.789438,9994,1615489N,Bus,Infodev,16,Northbound,15489,Cheltenham Av & 79th Av - FS,40.072929,-75.156066,Fall 2022,13,55,10,68,2,37
-8367186.9252087,4858887.45374045,9995,1620414N,Bus,Infodev,16,Northbound,20414,Broad St & S Penn Square,39.951435,-75.163719,Fall 2022,137,0,94,3,60,0
-8366925.32440534,4860420.30626969,9996,1617265N,Bus,Infodev,16,Northbound,17265,Broad St & Spring Garden St,39.96199,-75.161369,Fall 2022,81,29,33,7,19,7
-8366231.47001922,4864599.6387201,9997,1617286N,Bus,Infodev,16,Northbound,17286,Broad St & Cumberland St,39.99076,-75.155136,Fall 2022,14,14,13,10,7,5
-8366004.71221648,4865964.36775352,9998,1617297N,Bus,Infodev,16,Northbound,17297,Broad St & Clearfield St - FS,40.000152,-75.153099,Fall 2022,2,2,0,5,1,1
